Run #, Au, Ao, P, E, Node_3_Disp_2, Node_2_Disp_2, 
86, 524.596, 381.657, 22.9177, 217.653, 6.31354, 7.71747, 
87, 563.734, 250.654, 24.4836, 201.376, 7.29012, 8.9112, 
88, 552.928, 227.007, 23.1773, 219.522, 6.33069, 7.73843, 
89, 551.685, 224.83, 22.4946, 203.923, 6.61421, 8.085, 
90, 514.807, 325.49, 22.0336, 216.402, 6.10509, 7.46266, 
91, 714.981, 226.415, 23.7011, 163.647, 8.68417, 10.6152, 
92, 555.628, 178.309, 28.4218, 211.95, 8.04053, 9.82848, 
93, 598.921, 177.548, 22.7873, 198.412, 6.88639, 8.4177, 
94, 412.867, 243.835, 25.6876, 212.484, 7.24877, 8.86066, 
95, 561.397, 198.696, 28.7581, 208.65, 8.26436, 10.1021, 
96, 483.147, 284.123, 22.8392, 200.442, 6.83218, 8.35144, 
97, 471.856, 275.792, 22.6188, 197.072, 6.88195, 8.41227, 
98, 544.396, 355.939, 26.3684, 199.936, 7.90788, 9.66633, 
99, 404.704, 311.349, 22.0005, 208.824, 6.31712, 7.72185, 
100, 537.124, 242.984, 22.3199, 221.605, 6.0392, 7.38212, 
101, 593.317, 315.806, 27.6493, 200.787, 8.25688, 10.0929, 
102, 632.925, 192.632, 27.2414, 204.262, 7.99668, 9.77488, 
103, 674.72, 216.33, 21.246, 216.974, 5.87134, 7.17693, 
104, 535.24, 259.208, 26.9826, 208.494, 7.75991, 9.48547, 
105, 509.13, 362.805, 23.969, 201.697, 7.12553, 8.71002, 
106, 394.885, 231.132, 20.6619, 170.377, 7.27156, 8.88852, 
107, 508.218, 219.852, 25.9131, 198.938, 7.8103, 9.54706, 
108, 606.204, 186.165, 27.0533, 189.466, 8.56161, 10.4654, 
109, 418.269, 235.513, 26.1335, 212.762, 7.36495, 9.00268, 
110, 456.699, 212.551, 28.1512, 205.744, 8.2042, 10.0286, 
111, 572.819, 244.401, 28.901, 205.806, 8.42017, 10.2926, 
112, 416.01, 305.868, 28.0192, 206.113, 8.15111, 9.96366, 
113, 564.896, 222.377, 22.1824, 204.768, 6.49551, 7.9399, 
114, 255.189, 266.013, 24.883, 213.886, 6.97569, 8.52686, 
115, 622.333, 228.58, 23.8081, 220.005, 6.48871, 7.93159, 
116, 385.08, 249.884, 22.382, 215.082, 6.23968, 7.62719, 
117, 478.191, 264.482, 24.2493, 210.972, 6.89193, 8.42447, 
118, 511.182, 232.641, 24.862, 177.52, 8.39761, 10.265, 
119, 556.374, 261.983, 23.0008, 195.037, 7.07117, 8.64357, 
120, 481.094, 287.325, 22.7236, 195.317, 6.97596, 8.52719, 
121, 560.089, 296.337, 23.2456, 184.809, 7.54198, 9.21907, 
122, 458.468, 251.403, 22.6627, 193.666, 7.01658, 8.57685, 
123, 501.036, 241.087, 27.4187, 193.922, 8.47784, 10.363, 
124, 370.65, 227.789, 24.4585, 190.97, 7.67946, 9.38712, 
125, 410.855, 230.308, 23.9306, 223.521, 6.4195, 7.84699, 
126, 379.581, 345.412, 27.2341, 200.559, 8.14214, 9.95268, 
127, 469.613, 235.587, 28.3047, 212.307, 7.99394, 9.77153, 
128, 496.817, 202.468, 22.9747, 203.381, 6.77341, 8.2796, 
129, 570.517, 206.413, 27.7516, 210.531, 7.90386, 9.66142, 
130, 493.763, 304.151, 26.4923, 191.379, 8.30027, 10.146, 
131, 568.151, 225.486, 28.5466, 186.057, 9.19974, 11.2455, 
132, 378.824, 211.605, 24.0612, 196.584, 7.33897, 8.97092, 
133, 520.255, 270.722, 27.5644, 197.741, 8.35833, 10.217, 
134, 580.538, 181.684, 21.7822, 218.574, 5.97545, 7.30419, 
135, 486.919, 297.622, 27.9311, 214.592, 7.80442, 9.53987, 
136, 629.312, 252.154, 22.286, 214.77, 6.22194, 7.60549, 
137, 533.999, 308.566, 27.0973, 217.369, 7.47474, 9.13687, 
138, 468.541, 271.065, 21.7297, 199.676, 6.52524, 7.97624, 
139, 516.953, 299.815, 25.1908, 180.775, 8.35545, 10.2134, 
140, 526.467, 184.596, 25.0641, 207.623, 7.2384, 8.84799, 
141, 542.007, 220.746, 21.3228, 208.232, 6.13992, 7.50524, 
142, 398.107, 233.873, 25.862, 212.056, 7.31273, 8.93884, 
143, 343.717, 237.448, 21.4696, 205.113, 6.27621, 7.67184, 
144, 426.379, 336.616, 26.9113, 221.372, 7.28917, 8.91004, 
145, 657.537, 234.337, 26.9497, 202.875, 7.96514, 9.73632, 
146, 407.504, 218.461, 25.9716, 202.095, 7.70568, 9.41918, 
147, 512.177, 255.716, 21.5662, 218.262, 5.92463, 7.24208, 
148, 571.203, 199.533, 26.6966, 210.074, 7.61993, 9.31436, 
149, 465.451, 286.416, 28.5087, 202.802, 8.42895, 10.3033, 
150, 394.919, 163.31, 23.2188, 207.226, 6.71837, 8.21232, 
